실행시간,분석모드,구분,결과값
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",-0.01571428571428573
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.011999999999999966
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.011999999999999966
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",0.0016666666666666382
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:59","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:59","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:59","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:03:59","KOSPI날씨분석","22~28도",-0.0385714285714286
"2026-06-02 19:03:59","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.18249999999999997
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.16888888888888887
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.21399999999999997
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.2236363636363636
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.2236363636363636
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.16999999999999996
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.10923076923076919
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",0.051818181818181805
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.17857142857142855
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.17857142857142855
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:00","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:00","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:00","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:00","KOSPI날씨분석","22~28도",0.04066666666666664
"2026-06-02 19:04:00","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",0.23
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",0.925
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",0.41
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",0.1175
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.078
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.9933333333333333
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.8142857142857143
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.93
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.09333333333333342
"2026-06-02 19:04:01","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:01","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:01","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:01","KOSPI날씨분석","22~28도",-0.14937500000000004
"2026-06-02 19:04:01","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.08470588235294121
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.031111111111111145
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.09315789473684213
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:04:02","KOSPI날씨분석","15~22도",-0.010869565217391314
"2026-06-02 19:04:02","KOSPI날씨분석","22~28도",-0.04150000000000002
"2026-06-02 19:04:02","KOSPI날씨분석","28도↑",-0.13400000000000006
"2026-06-02 19:04:02","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:04:02","KOSPI날씨분석","5~15도",0.3417647058823529
